customer_id,age,city,segment,signup_date,acquisition_channel,plan_type,has_mobile_app
f1551af3,22,CDMX,mid,2024-11-29,ads,plus,1
a7e4ebc8,58,Guadalajara,mid,2024-09-26,organic,pro,1
01aa4def,52,Querétaro,low,2024-05-31,ads,basic,1
bfea95fe,40,Monterrey,low,2024-01-30,market_stand,basic,1
b449a21c,40,CDMX,mid,2024-02-25,ads,plus,1
20646c1e,62,CDMX,mid,2024-03-29,organic,basic,1
34787c74,22,Querétaro,high,2024-05-28,ads,plus,0
2c4428f1,54,Querétaro,mid,2024-11-20,social,plus,1
d1167b4b,28,Edomex,mid,2024-02-13,ads,plus,1
e6179507,22,Guadalajara,mid,2024-07-30,ads,basic,1
4597e707,45,Edomex,mid,2024-05-07,organic,basic,0
df830d14,68,Edomex,mid,2024-01-18,ads,pro,0
cdc4b577,56,CDMX,low,2024-08-14,market_stand,basic,1
4197d03e,57,CDMX,mid,2024-09-14,market_stand,basic,0
558f6cd3,55,CDMX,mid,2024-12-17,ads,basic,0
7798eb75,58,Monterrey,mid,2024-07-04,market_stand,basic,1
9c0ff8e6,44,CDMX,high,2024-04-29,ads,basic,1
79d44787,24,CDMX,mid,2024-11-08,market_stand,basic,0
fc0bb4b2,61,Edomex,low,2024-03-31,organic,plus,0
f3aa4a72,41,CDMX,low,2024-09-06,ads,plus,1
1d7038f0,44,CDMX,low,2024-12-11,market_stand,pro,1
45263f10,37,Edomex,low,2024-01-02,social,pro,1
f5df6de4,27,Edomex,low,2024-12-04,market_stand,basic,1
05d094e3,66,Guadalajara,low,2024-03-16,referral,basic,1
4f452839,58,Puebla,low,2024-06-25,market_stand,pro,1
c2bf4d98,51,CDMX,low,2024-04-04,market_stand,basic,1
38fc9272,38,Puebla,mid,2024-02-22,ads,basic,1
74e4733e,60,Puebla,mid,2024-09-14,ads,basic,1
87427d51,46,Monterrey,low,2024-06-25,referral,plus,1
9fd84730,41,Guadalajara,low,2024-07-05,referral,basic,0
b696d650,41,Guadalajara,low,2024-06-25,market_stand,basic,1
96f76e87,29,Guadalajara,low,2024-09-30,ads,basic,0
b04b301a,22,Guadalajara,low,2024-12-19,organic,plus,1
6e324878,46,CDMX,low,2024-07-06,organic,basic,1
327fedf4,64,Querétaro,low,2024-02-26,market_stand,plus,0
874a580b,21,Edomex,high,2024-04-29,organic,basic,1
