,importance
events_30d,0.010999999999999987
days_since_last_tx,0.01050000000000001
plan_type,0.008100000000000007
tx_90d,0.006000000000000005
revenue_90d,0.0038000000000000035
aov_90d,0.0032000000000000028
events_7d,0.0017000000000000014
city,0.0013000000000000012
support_chats_30d,0.0007000000000000006
has_mobile_app,-0.00010000000000000009
avg_resolution_60d,-0.0006000000000000005
avg_satisfaction_60d,-0.001200000000000001
tx_30d,-0.0017000000000000014
tickets_60d,-0.002200000000000002
avg_discount_90d,-0.0027000000000000023
