order_id,user_id,vendor_id,order_date,order_status,order_total,commission
1,1,139,2024-06-11 00:07:07,cancelled,916.08,137.41
2,1,171,2024-06-07 09:15:48,cancelled,1408.45,211.27
3,1,186,2024-07-03 21:15:34,cancelled,892.43,133.86
4,3,195,2024-03-09 18:26:35,completed,1919.77,287.97
5,3,123,2024-06-09 10:07:20,cancelled,196.72,29.51
6,3,100,2024-06-02 10:22:58,cancelled,765.47,114.82
7,4,47,2024-07-13 05:38:49,cancelled,900.6,135.09
8,5,5,2024-05-12 09:27:21,cancelled,1010.82,151.62
9,5,165,2024-06-26 19:26:29,cancelled,1602.35,240.35
10,5,141,2024-10-18 14:11:19,completed,1042.91,156.44
11,5,86,2024-03-31 09:57:16,completed,865.02,129.75
12,5,81,2024-07-09 18:39:04,cancelled,1123.27,168.49
13,5,88,2024-01-15 06:36:47,completed,1400.33,210.05
14,6,102,2024-04-18 12:29:30,cancelled,1956.18,293.43
15,6,66,2024-12-29 08:24:47,completed,570.41,85.56
16,6,193,2024-03-24 10:50:24,completed,506.74,76.01
17,7,169,2024-04-03 08:57:46,cancelled,791.69,118.75
18,7,29,2024-12-18 07:34:28,completed,1642.48,246.37
19,8,35,2024-10-09 13:25:52,completed,555.88,83.38
20,8,99,2024-08-12 08:31:19,completed,1123.18,168.48
21,8,31,2024-10-19 18:26:19,cancelled,170.44,25.57
22,9,66,2024-03-04 15:23:59,cancelled,1330.95,199.64
23,9,163,2024-05-30 18:15:54,cancelled,854.55,128.18
24,11,135,2024-12-04 21:41:57,completed,349.14,52.37
25,11,174,2024-05-08 22:37:13,cancelled,1347.01,202.05
26,12,64,2024-04-11 03:05:43,cancelled,1899.57,284.94
27,12,164,2024-03-28 05:44:43,cancelled,1899.26,284.89
28,13,129,2024-09-19 18:44:03,cancelled,1583.21,237.48
29,13,1,2024-10-20 13:54:52,cancelled,1571.05,235.66
30,13,151,2024-12-02 13:53:32,completed,1070.25,160.54
31,13,124,2024-06-29 19:14:51,completed,1621.92,243.29
32,14,134,2024-03-12 12:42:25,cancelled,936.55,140.48
33,15,75,2024-12-05 18:49:33,cancelled,872.05,130.81
34,15,158,2024-07-03 21:23:24,completed,1457.84,218.68
35,15,17,2024-09-08 18:44:43,completed,1948.18,292.23
36,15,101,2024-04-24 16:19:50,cancelled,460.83,69.12
37,16,199,2024-06-27 01:14:05,completed,598.4,89.76
38,17,63,2024-06-11 13:45:48,cancelled,570.99,85.65
39,17,187,2024-11-23 10:41:28,completed,1588.99,238.35
40,18,6,2024-06-24 02:44:39,cancelled,1866.71,280.01
41,18,101,2024-06-10 22:20:47,completed,1394.87,209.23
42,18,81,2024-02-22 21:16:31,cancelled,1634.95,245.24
43,20,9,2024-05-31 13:24:53,cancelled,635.5,95.33
44,20,11,2024-07-06 05:49:27,completed,1223.05,183.46
45,21,37,2024-12-03 15:25:37,completed,1199.69,179.95
46,22,99,2024-09-04 16:48:48,completed,1302.77,195.42
47,23,171,2024-12-06 14:34:36,completed,1349.42,202.41
48,23,81,2024-08-31 22:29:54,cancelled,1019.72,152.96
49,24,190,2024-12-18 12:56:56,completed,1091.19,163.68
50,24,12,2024-04-01 18:46:01,cancelled,1172.25,175.84
51,24,62,2024-12-23 19:35:04,cancelled,758.85,113.83
52,25,138,2024-01-11 02:23:24,completed,161.1,24.16
53,26,167,2024-03-02 01:37:16,completed,668.38,100.26
54,26,102,2024-03-24 06:14:09,cancelled,904.88,135.73
55,28,6,2024-09-07 16:44:19,completed,530.68,79.6
56,28,166,2024-02-27 00:00:59,completed,626.27,93.94
57,29,25,2024-06-24 19:10:58,cancelled,1379.06,206.86
58,29,161,2024-07-07 13:13:19,completed,1188.06,178.21
59,30,68,2024-05-15 03:50:31,completed,1521.63,228.24
60,30,127,2024-12-29 14:07:04,cancelled,444.27,66.64
61,31,161,2024-10-28 11:04:08,completed,1455.78,218.37
62,31,146,2024-07-18 19:47:37,cancelled,1851.71,277.76
63,31,100,2024-07-12 21:17:45,completed,1216.29,182.44
64,31,64,2024-02-08 11:53:27,cancelled,494.33,74.15
65,31,92,2024-09-15 21:34:53,cancelled,384.84,57.73
66,32,174,2024-05-23 03:20:08,completed,1099.78,164.97
67,34,25,2024-11-17 00:04:55,cancelled,1026.74,154.01
68,35,12,2024-07-01 22:12:14,completed,299.15,44.87
69,35,26,2024-10-26 17:26:22,completed,262.59,39.39
70,36,56,2024-02-20 03:12:42,cancelled,1530.25,229.54
71,37,102,2024-04-25 03:37:22,completed,975.7,146.35
72,37,27,2024-04-16 01:07:33,completed,1594.0,239.1
73,38,6,2024-06-27 11:10:43,cancelled,1700.94,255.14
74,38,200,2024-08-30 00:48:36,completed,630.03,94.5
75,38,72,2024-12-07 08:53:21,cancelled,685.14,102.77
76,38,7,2024-01-21 06:59:51,completed,1404.06,210.61
77,38,66,2024-12-22 20:48:55,cancelled,543.52,81.53
78,39,131,2024-01-22 11:57:18,completed,1406.02,210.9
79,40,189,2024-08-19 14:26:36,cancelled,335.86,50.38
80,40,24,2024-07-02 16:13:47,completed,1175.63,176.34
81,40,170,2024-11-07 16:11:32,cancelled,756.43,113.46
82,40,30,2024-07-28 01:22:10,completed,558.05,83.71
83,41,195,2024-12-13 21:29:46,completed,1634.7,245.2
84,41,178,2024-02-18 03:46:30,completed,1516.27,227.44
85,42,145,2024-08-21 19:34:29,cancelled,1222.12,183.32
86,42,110,2024-09-10 20:39:29,completed,1610.58,241.59
87,42,170,2024-05-13 07:32:50,cancelled,916.74,137.51
88,42,152,2024-12-27 11:24:51,cancelled,1242.41,186.36
89,44,12,2024-04-02 08:19:57,completed,207.4,31.11
90,44,38,2024-10-22 23:57:48,completed,1749.61,262.44
91,44,116,2024-05-30 00:44:41,completed,883.21,132.48
92,44,147,2024-07-03 15:09:31,cancelled,638.15,95.72
93,45,10,2024-09-18 22:53:27,cancelled,1439.88,215.98
94,45,47,2024-04-12 00:15:25,completed,1728.83,259.32
95,45,137,2024-03-10 21:57:17,completed,511.78,76.77
96,46,36,2024-08-26 14:35:00,cancelled,855.03,128.25
97,46,46,2024-07-20 09:13:42,cancelled,1358.92,203.84
98,46,87,2024-12-21 17:24:43,completed,925.52,138.83
99,47,10,2024-11-07 06:36:24,completed,1437.1,215.56
100,47,53,2024-11-01 13:28:28,cancelled,1458.32,218.75
101,47,119,2024-11-28 00:10:09,completed,814.52,122.18
102,47,182,2024-08-17 11:25:30,cancelled,556.41,83.46
103,48,183,2024-04-11 16:18:11,completed,916.02,137.4
104,48,37,2024-05-03 12:53:35,completed,1661.93,249.29
105,48,126,2024-09-26 03:33:42,completed,867.02,130.05
106,49,182,2024-04-08 00:56:13,completed,920.57,138.09
107,50,24,2024-07-24 05:09:39,cancelled,1877.93,281.69
108,50,182,2024-08-23 08:49:41,cancelled,404.3,60.64
109,50,76,2024-05-25 03:56:24,cancelled,223.86,33.58
110,50,112,2024-06-05 19:24:54,cancelled,252.47,37.87
111,50,35,2024-03-07 00:43:07,cancelled,795.49,119.32
112,50,38,2024-11-30 08:59:40,cancelled,1298.49,194.77
113,51,15,2024-05-03 01:26:15,cancelled,1031.49,154.72
114,52,55,2024-01-14 09:50:20,cancelled,552.43,82.86
115,52,180,2024-04-18 15:09:07,completed,623.49,93.52
116,53,111,2024-01-18 16:31:31,cancelled,773.25,115.99
117,53,105,2024-06-01 13:51:15,completed,842.48,126.37
118,54,190,2024-06-04 02:42:24,cancelled,1663.41,249.51
119,54,157,2024-09-07 06:52:47,cancelled,1460.19,219.03
120,56,75,2024-01-21 20:33:57,cancelled,618.55,92.78
121,56,193,2024-01-11 20:46:57,completed,215.64,32.35
122,56,31,2024-02-09 11:54:06,cancelled,1696.64,254.5
123,56,133,2024-06-03 05:12:20,completed,1808.5,271.27
124,57,14,2024-05-27 02:03:47,completed,1521.13,228.17
125,58,42,2024-03-26 07:47:35,completed,932.1,139.81
126,59,58,2024-03-15 08:23:59,completed,1191.49,178.72
127,59,145,2024-12-28 21:24:09,completed,1559.23,233.88
128,60,15,2024-01-27 22:37:47,cancelled,1122.18,168.33
129,61,46,2024-10-23 21:03:51,completed,1638.06,245.71
130,61,112,2024-02-03 05:58:00,cancelled,315.24,47.29
131,62,119,2024-03-06 21:46:20,cancelled,583.19,87.48
132,62,176,2024-03-27 20:29:49,cancelled,315.58,47.34
133,64,146,2024-03-15 01:17:36,completed,1001.18,150.18
134,64,196,2024-09-28 17:00:42,completed,953.42,143.01
135,64,189,2024-04-26 06:35:32,cancelled,1431.29,214.69
136,65,79,2024-05-03 04:36:27,cancelled,1778.32,266.75
137,66,7,2024-10-31 16:19:10,completed,1129.33,169.4
138,67,76,2024-12-17 17:09:46,cancelled,1353.13,202.97
139,67,103,2024-07-01 08:17:44,completed,928.53,139.28
140,67,18,2024-03-18 20:49:49,completed,1929.54,289.43
141,68,168,2024-04-24 11:14:33,completed,1527.89,229.18
142,68,81,2024-12-06 04:46:20,cancelled,238.41,35.76
143,70,169,2024-02-18 14:41:07,cancelled,1273.92,191.09
144,70,43,2024-03-12 06:44:55,completed,1448.51,217.28
145,71,12,2024-12-24 10:12:32,completed,1922.58,288.39
146,72,57,2024-09-24 08:34:52,cancelled,597.08,89.56
147,72,96,2024-03-08 13:02:08,cancelled,532.46,79.87
148,72,38,2024-05-06 13:00:21,cancelled,884.19,132.63
149,73,80,2024-05-24 09:19:58,completed,554.27,83.14
150,74,160,2024-03-16 10:48:44,completed,1314.81,197.22
151,75,188,2024-02-01 10:44:53,cancelled,858.74,128.81
152,77,49,2024-06-13 17:44:39,cancelled,1111.02,166.65
153,77,73,2024-10-23 15:56:15,cancelled,1325.93,198.89
154,77,45,2024-02-21 16:53:36,cancelled,1426.98,214.05
155,77,180,2024-06-15 18:20:22,completed,1361.52,204.23
