ticket_id,customer_id,open_date,resolution_hours,satisfaction_score
01089e52-2,bfea95fe,2024-03-07,7.0,5
c25382a4-a,b449a21c,2024-06-09,4.6,8
bd64ebdb-d,b449a21c,2024-01-07,41.7,4
2ec83454-2,20646c1e,2024-05-07,3.8,5
34842fdf-3,e6179507,2024-08-28,20.2,7
9d1a96f6-6,e6179507,2024-08-30,24.3,8
0e5ce989-8,4597e707,2024-12-03,56.1,9
1ff66812-2,df830d14,2024-09-05,15.5,4
53c5843f-c,df830d14,2024-04-20,34.2,8
ebb7432b-1,df830d14,2024-12-24,26.4,6
54005a8a-4,558f6cd3,2024-10-29,29.8,2
2a82951f-a,558f6cd3,2024-07-22,35.7,10
2ca12bb4-4,f3aa4a72,2024-02-10,64.3,6
34e95a8b-7,f3aa4a72,2024-06-18,13.3,5
7bda590d-9,1d7038f0,2024-06-17,28.5,5
3d4e429a-f,1d7038f0,2024-06-27,39.2,7
b9aa2063-e,4f452839,2024-04-23,3.9,6
44a7ca3e-0,4f452839,2024-06-29,22.4,7
95ca01aa-d,b04b301a,2024-04-11,26.2,8
541f056f-5,b04b301a,2024-05-27,16.6,9
7346242b-1,327fedf4,2024-06-18,11.4,5
119ea26d-f,327fedf4,2024-05-07,5.9,6
b78b65b0-f,874a580b,2024-01-14,20.5,6
fbaf0b61-5,0bc63cf5,2024-09-17,2.8,5
50596d99-a,0bc63cf5,2024-07-03,5.8,7
2a05351e-1,e6b315b2,2024-05-14,19.5,4
de336b15-9,e6b315b2,2024-06-18,21.3,7
bf5048c9-5,e6b315b2,2024-04-11,40.7,6
ef2e22d5-f,039ffdb1,2024-05-12,0.1,4
6dc71275-1,039ffdb1,2024-07-19,30.1,5
8daab0ed-e,dcb7260e,2024-09-15,4.4,2
2a230d59-8,8ff3d710,2024-04-11,10.3,6
0ec01231-0,8ff3d710,2024-09-20,33.1,6
e85ad671-7,640f54cf,2024-07-14,7.5,7
85fb86a1-6,640f54cf,2024-03-15,6.0,4
f4394cfe-b,499f3bcb,2024-03-27,11.2,8
706fc682-7,499f3bcb,2024-08-04,2.1,8
1133ce66-c,35c1ecfa,2024-04-21,44.7,5
74063ab3-8,71b35acb,2024-08-18,44.8,9
0a563642-a,6650f868,2024-08-14,4.5,6
66121ae3-0,6650f868,2024-04-17,1.1,6
1fa99af1-7,6650f868,2024-08-13,27.8,7
79ad29dc-f,e784a2f2,2024-11-10,41.6,9
3712bcd2-4,e784a2f2,2024-02-02,29.5,6
9a779b1f-8,e784a2f2,2024-07-06,2.8,4
568188cb-d,50955d80,2024-12-18,15.9,7
c1c6eac0-4,50955d80,2024-07-19,69.9,3
9575e93d-e,50955d80,2024-08-31,5.0,8
ac79fd38-6,5c234e4e,2024-06-09,12.0,5
174ad5db-0,5c234e4e,2024-03-17,3.9,10
9790fbbd-d,20b6c436,2024-11-03,35.4,3
acfd9c85-d,8e9d8410,2024-10-06,11.3,7
f2110bcc-f,8e9d8410,2024-10-07,25.9,7
db0370bf-b,c60d59d4,2024-09-02,6.4,4
76dc8750-7,3132e691,2024-09-11,20.3,9
175ced9b-5,3132e691,2024-03-23,40.2,8
0dfa6a9d-a,3132e691,2024-03-10,45.4,6
5095d859-3,79cf565d,2024-10-29,45.1,6
23d53ef3-4,79cf565d,2024-07-07,23.8,9
6a38f023-7,db1cd978,2024-08-12,37.0,5
6c1c89ad-d,57bbdea1,2024-04-16,45.5,7
bfeaf66c-1,57bbdea1,2024-07-20,7.5,7
a163b738-1,57bbdea1,2024-05-22,38.5,5
8b2dd19d-1,b13601cb,2024-03-06,22.5,7
b4efa2ea-2,b13601cb,2024-03-22,16.9,9
40d9799a-4,5125d9f4,2024-06-25,2.3,5
7d7580b0-2,1c621350,2024-12-28,0.5,5
4f2dce29-1,e5496b04,2024-10-03,31.4,6
e1f330dd-b,e5496b04,2024-02-27,15.4,5
84f1d0a0-6,495cce86,2024-12-11,28.4,9
f9f399b1-4,495cce86,2024-02-05,36.4,4
301ba888-6,9df437b1,2024-11-01,37.7,4
ef9516f1-2,cc649179,2024-02-10,19.6,4
bc31f34e-4,8871dd7d,2024-01-04,7.6,4
59f5cc7f-d,65cbe72a,2024-11-23,0.6,6
8a4a938d-a,65cbe72a,2024-10-05,49.6,6
ac4b643b-3,ac9b7a03,2024-06-13,39.8,6
29df745a-0,e4ae0748,2024-12-17,9.8,6
d3e08dd4-9,580f92e3,2024-07-03,38.1,7
bb1e653b-a,580f92e3,2024-01-16,36.1,3
ecda7685-0,580f92e3,2024-10-03,30.5,8
e142f757-4,e69e7b77,2024-02-25,13.4,5
5a2e50e6-9,e69e7b77,2024-08-13,13.5,4
4e8e39d6-c,e69e7b77,2024-04-30,14.5,9
5451a008-7,fd9d049a,2024-04-03,19.6,4
1f7a91f8-6,45214f60,2024-02-11,35.4,4
ae6dc7be-6,45214f60,2024-10-06,17.6,6
31f1ec6d-5,01d8096d,2024-11-11,25.8,6
69e653ce-5,d89c09ed,2024-04-21,8.2,6
215977c8-5,d89c09ed,2024-10-01,30.8,5
78c8eeda-4,d89c09ed,2024-09-19,9.0,7
53295983-1,f0422828,2024-08-30,36.5,7
2d2e685e-2,2adc15a2,2024-04-30,13.0,6
6a8eedde-f,2adc15a2,2024-06-18,23.3,7
d2fc3754-8,2adc15a2,2024-01-10,45.5,7
17f23c08-a,de2fe353,2024-01-06,21.8,5
dad421af-c,de2fe353,2024-12-15,11.2,6
cf2444f9-5,e99116e8,2024-02-08,52.6,7
7be864a3-c,e99116e8,2024-02-22,14.1,6
b87cf401-9,bad3389e,2024-08-13,33.0,6
66f346c3-a,bad3389e,2024-04-30,2.9,5
45699f12-1,bad3389e,2024-12-12,9.4,4
95f7fce8-4,d4cbee8b,2024-07-15,41.2,6
5a1a11f3-0,a0e504f6,2024-09-06,36.7,2
913ee2b1-2,a0e504f6,2024-06-07,8.2,10
c0dd26df-5,a0e504f6,2024-07-14,16.2,7
3b16f04a-e,cd3498d1,2024-02-01,31.3,7
cfdd3aff-e,a7caf053,2024-07-10,5.9,6
455a9505-e,a7caf053,2024-12-12,39.2,7
3221d39e-7,a7caf053,2024-05-15,22.0,6
fa376166-8,218f392e,2024-12-01,6.0,2
