tx_id,customer_id,tx_date,amount,category,discount_pct,payment_method
8e6bb1c0-1,f1551af3,2024-03-26,162.15,fruits,0,wallet
37b21844-b,f1551af3,2024-04-07,403.04,premium,10,transfer
28ba4c0e-b,f1551af3,2024-12-24,30.0,fruits,15,transfer
446a99f8-0,f1551af3,2024-02-28,425.88,fruits,5,cash
504c936f-6,f1551af3,2024-06-10,222.06,premium,15,cash
f5b5119d-e,f1551af3,2024-05-19,310.78,premium,0,transfer
4a712a84-4,a7e4ebc8,2024-07-17,275.08,premium,0,transfer
77f8b4bc-8,a7e4ebc8,2024-08-31,458.2,bulk,10,wallet
f0427fcb-4,a7e4ebc8,2024-06-11,268.6,vegetables,0,cash
ea951e0c-8,a7e4ebc8,2024-05-30,328.73,fruits,15,transfer
dbdbac4b-f,a7e4ebc8,2024-06-02,466.91,vegetables,0,cash
42ca7670-1,a7e4ebc8,2024-03-29,389.23,vegetables,0,transfer
e2f76060-2,a7e4ebc8,2024-07-27,530.72,vegetables,15,cash
9a8129b3-c,a7e4ebc8,2024-07-24,246.2,bulk,0,card
fd3a9364-a,a7e4ebc8,2024-09-27,81.18,vegetables,0,card
b0d4139f-d,a7e4ebc8,2024-02-19,363.67,vegetables,5,transfer
9833f105-7,a7e4ebc8,2024-04-12,379.11,vegetables,0,card
52cf916a-2,a7e4ebc8,2024-10-19,282.46,vegetables,5,cash
6fe6e758-c,a7e4ebc8,2024-04-06,125.07,bulk,0,transfer
358ebd42-d,a7e4ebc8,2024-06-14,483.57,fruits,20,cash
39de2311-6,a7e4ebc8,2024-04-16,314.46,vegetables,5,wallet
21a68747-c,a7e4ebc8,2024-02-02,294.4,fruits,5,card
71c00b69-d,a7e4ebc8,2024-01-12,694.18,premium,0,card
87e1ec28-1,a7e4ebc8,2024-01-19,410.96,organic,20,transfer
89c5d104-5,a7e4ebc8,2024-07-19,310.31,fruits,0,wallet
351daa9c-4,a7e4ebc8,2024-07-24,208.32,vegetables,10,transfer
6ea731b7-7,a7e4ebc8,2024-02-07,215.44,bulk,5,transfer
232e5c90-1,01aa4def,2024-05-25,387.17,fruits,10,transfer
d2a08843-6,01aa4def,2024-04-30,463.92,organic,0,card
a25dd20b-b,01aa4def,2024-04-18,497.04,vegetables,5,card
83cc8d9b-a,01aa4def,2024-10-24,246.23,fruits,0,card
4dada87b-3,01aa4def,2024-02-14,531.61,vegetables,5,transfer
960652cf-4,01aa4def,2024-02-29,202.0,vegetables,10,card
0d8c7a5b-0,01aa4def,2024-04-03,216.67,premium,5,card
aaa8839c-e,01aa4def,2024-08-16,169.31,fruits,0,card
4bf0975f-1,01aa4def,2024-04-20,83.27,fruits,5,card
d61102a9-7,01aa4def,2024-04-13,125.39,premium,0,cash
b0df0f8a-c,01aa4def,2024-10-27,590.91,fruits,10,transfer
ae0ca292-2,bfea95fe,2024-10-23,326.97,fruits,0,transfer
c6f53cd9-d,bfea95fe,2024-12-23,487.34,bulk,5,card
b8a6e07b-b,bfea95fe,2024-09-02,529.41,premium,0,cash
dfd1575d-2,bfea95fe,2024-01-13,254.73,vegetables,0,card
23251867-1,bfea95fe,2024-10-20,755.43,bulk,0,transfer
3dbe4fc9-a,bfea95fe,2024-05-03,436.59,fruits,5,wallet
1b726e8f-5,bfea95fe,2024-12-04,184.06,organic,0,card
990ec8a8-1,bfea95fe,2024-09-01,388.22,organic,15,cash
adcb2140-4,bfea95fe,2024-07-06,356.24,bulk,0,card
85a611a1-c,bfea95fe,2024-12-02,692.6,premium,10,card
cbc02b01-6,bfea95fe,2024-01-24,353.18,fruits,0,transfer
712f6763-0,bfea95fe,2024-12-24,304.29,bulk,0,cash
4c74438f-5,bfea95fe,2024-10-07,223.66,organic,5,card
d75ad62c-d,bfea95fe,2024-08-17,589.63,bulk,0,card
6b98b17e-8,b449a21c,2024-12-16,652.79,fruits,0,card
8127dc4d-0,b449a21c,2024-02-28,751.89,organic,0,cash
321e9ef8-2,b449a21c,2024-02-01,30.0,fruits,5,wallet
5b433b6e-d,b449a21c,2024-10-09,488.12,organic,0,card
9e8c821e-1,b449a21c,2024-06-27,357.28,bulk,20,cash
173f02b8-6,b449a21c,2024-10-18,349.21,vegetables,5,wallet
199820f8-3,b449a21c,2024-09-15,328.14,fruits,15,transfer
506f1414-4,b449a21c,2024-12-01,499.95,premium,0,cash
421c9e3b-d,b449a21c,2024-04-23,127.99,bulk,0,card
d721bf4e-5,b449a21c,2024-07-09,277.88,organic,0,cash
dfd49b10-5,20646c1e,2024-10-29,304.34,vegetables,10,card
1f495a33-b,20646c1e,2024-11-23,435.73,organic,0,card
bf063be7-1,20646c1e,2024-12-21,437.73,fruits,10,transfer
c0ca13f8-c,34787c74,2024-07-19,391.83,vegetables,0,card
1c7b807b-e,34787c74,2024-01-02,249.11,fruits,0,card
58e8a353-a,34787c74,2024-09-15,210.77,fruits,5,transfer
36e2e467-4,34787c74,2024-02-26,439.33,vegetables,10,cash
4228baba-6,34787c74,2024-01-28,466.37,vegetables,0,wallet
16597986-8,34787c74,2024-06-16,30.0,fruits,5,card
bf5c6177-3,34787c74,2024-07-19,309.11,organic,5,transfer
b678a26d-d,34787c74,2024-12-07,553.07,organic,0,card
488353f0-c,34787c74,2024-07-19,195.5,bulk,0,transfer
123c0d1b-1,34787c74,2024-08-14,628.88,fruits,20,transfer
74e9eeaf-9,34787c74,2024-08-14,344.56,fruits,0,wallet
b262c789-8,34787c74,2024-07-05,623.82,fruits,10,card
cc6b8ef8-c,2c4428f1,2024-11-11,535.74,fruits,5,cash
b68fe441-9,2c4428f1,2024-08-09,266.13,vegetables,5,card
3120e5d1-7,2c4428f1,2024-07-18,156.2,fruits,0,wallet
08e8021c-9,2c4428f1,2024-09-08,30.0,vegetables,0,transfer
32ef206e-4,2c4428f1,2024-05-10,474.23,fruits,5,wallet
250fc181-a,d1167b4b,2024-12-03,247.54,organic,10,card
c8cac36b-0,d1167b4b,2024-08-19,423.08,fruits,0,card
c8e53a1d-7,d1167b4b,2024-03-13,480.52,bulk,0,card
9eabbdc6-0,d1167b4b,2024-05-22,298.72,fruits,5,transfer
d5357d64-3,d1167b4b,2024-02-17,552.32,bulk,0,card
83b23c6d-f,e6179507,2024-01-25,605.25,vegetables,15,transfer
ecffa10c-c,e6179507,2024-10-22,380.46,vegetables,0,transfer
e915fee9-5,e6179507,2024-02-22,380.37,fruits,0,card
5cc0d207-f,e6179507,2024-05-28,170.75,bulk,5,wallet
