user_id,created_at,city,acquisition_channel,device,total_orders,total_spent,last_order_date,is_active_30d
1,2024-09-10 14:52:22,Puebla,Google Ads,iOS,4,1611.17,2024-11-03 14:52:22,False
2,2024-03-29 13:21:49,Querétaro,Referido,iOS,2,2240.99,2024-06-24 13:21:49,False
3,2024-01-31 07:42:34,Querétaro,Referido,Android,0,0.0,2024-08-11 07:42:34,True
4,2024-09-05 13:08:31,Querétaro,Referido,Android,2,876.85,2024-11-11 13:08:31,True
5,2024-11-16 00:10:35,Puebla,Orgánico,Android,3,2986.23,2024-12-13 00:10:35,True
6,2024-03-24 12:31:40,Guadalajara,Orgánico,Android,1,676.27,2024-11-05 12:31:40,False
7,2024-09-17 16:13:02,Querétaro,Google Ads,Android,3,2910.42,2024-12-15 16:13:02,True
8,2024-10-02 14:50:04,CDMX,Facebook Ads,iOS,0,0.0,2025-05-25 14:50:04,True
9,2024-04-21 17:30:49,Querétaro,Facebook Ads,iOS,1,1433.55,2024-05-27 17:30:49,False
10,2024-02-07 09:08:37,Guadalajara,Referido,iOS,3,3268.51,2024-10-27 09:08:37,True
11,2024-03-25 22:15:55,Monterrey,Orgánico,iOS,2,489.41,2024-05-28 22:15:55,True
12,2024-10-09 16:04:39,Querétaro,Referido,iOS,3,2628.27,2025-06-18 16:04:39,True
13,2024-04-15 15:00:22,Guadalajara,Google Ads,iOS,6,8390.62,2024-11-07 15:00:22,False
14,2024-06-15 05:32:15,Monterrey,Facebook Ads,Android,1,258.8,2024-12-19 05:32:15,False
15,2024-06-25 21:59:27,Querétaro,Orgánico,Android,2,2554.72,2025-03-19 21:59:27,False
16,2024-11-12 09:50:38,Guadalajara,Google Ads,Android,3,3728.57,2025-07-18 09:50:38,True
17,2024-02-15 22:32:30,Monterrey,Referido,Android,3,621.54,2024-08-26 22:32:30,True
18,2024-04-09 12:00:35,CDMX,Referido,iOS,4,2664.02,2024-11-01 12:00:35,True
19,2024-12-02 16:29:48,Puebla,Facebook Ads,Android,3,847.88,2025-05-26 16:29:48,False
20,2024-08-11 23:06:41,CDMX,Orgánico,iOS,3,4060.13,2024-10-07 23:06:41,True
21,2024-02-04 20:05:50,Querétaro,Referido,iOS,2,2378.04,2024-10-19 20:05:50,True
22,2024-08-12 22:33:43,Monterrey,Google Ads,Android,4,932.18,2025-02-02 22:33:43,False
23,2024-06-30 09:33:21,Monterrey,Orgánico,Android,1,1027.33,2024-08-31 09:33:21,True
24,2024-04-07 20:36:42,Querétaro,Referido,Android,3,2200.49,2024-07-23 20:36:42,True
25,2024-10-05 12:10:12,CDMX,Google Ads,Android,2,1153.35,2025-06-12 12:10:12,True
26,2024-12-10 08:50:27,Monterrey,Referido,Android,6,8161.96,2025-07-01 08:50:27,False
27,2024-03-18 22:11:07,Puebla,Orgánico,iOS,4,1985.26,2024-09-10 22:11:07,True
28,2024-04-21 14:01:02,CDMX,Referido,Android,3,2591.91,2024-10-24 14:01:02,True
